"","t.fdr","n","p","spr","s","k","rho","amplitude","metric","method","x.1","x.2","mean","ntrials"
"1",0.01,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.000000000,30.000000000,0.000000000,30
"2",0.02,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.018589479,30.000000000,0.018589479,30
"3",0.03,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.032147989,30.000000000,0.032147989,30
"4",0.04,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.038865875,30.000000000,0.038865875,30
"5",0.05,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.046596871,30.000000000,0.046596871,30
"6",0.06,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.060890920,30.000000000,0.060890920,30
"7",0.07,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.074100372,30.000000000,0.074100372,30
"8",0.08,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.081859504,30.000000000,0.081859504,30
"9",0.09,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.097635657,30.000000000,0.097635657,30
"10",0.10,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.112809558,30.000000000,0.112809558,30
"11",0.11,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.123209196,30.000000000,0.123209196,30
"12",0.12,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.133368568,30.000000000,0.133368568,30
"13",0.13,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.144937734,30.000000000,0.144937734,30
"14",0.14,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.153454530,30.000000000,0.153454530,30
"15",0.15,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.164628800,30.000000000,0.164628800,30
"16",0.16,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.178346378,30.000000000,0.178346378,30
"17",0.17,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.189985891,30.000000000,0.189985891,30
"18",0.18,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.199906676,30.000000000,0.199906676,30
"19",0.19,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.209671034,30.000000000,0.209671034,30
"20",0.20,5000, 750,0.15,0.1, 75,0,5,"fdr","a", 0.223249294,30.000000000,0.223249294,30
"21",0.01,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.000000000,20.000000000,0.000000000,20
"22",0.02,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.008115431,20.000000000,0.008115431,20
"23",0.03,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.019024652,20.000000000,0.019024652,20
"24",0.04,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.025695828,20.000000000,0.025695828,20
"25",0.05,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.036342140,20.000000000,0.036342140,20
"26",0.06,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.042650170,20.000000000,0.042650170,20
"27",0.07,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.047780434,20.000000000,0.047780434,20
"28",0.08,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.063025752,20.000000000,0.063025752,20
"29",0.09,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.069986999,20.000000000,0.069986999,20
"30",0.10,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.075578668,20.000000000,0.075578668,20
"31",0.11,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.088577763,20.000000000,0.088577763,20
"32",0.12,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.101111520,20.000000000,0.101111520,20
"33",0.13,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.112436561,20.000000000,0.112436561,20
"34",0.14,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.119666165,20.000000000,0.119666165,20
"35",0.15,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.130505341,20.000000000,0.130505341,20
"36",0.16,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.140335295,20.000000000,0.140335295,20
"37",0.17,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.148519515,20.000000000,0.148519515,20
"38",0.18,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.152511863,20.000000000,0.152511863,20
"39",0.19,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.158803254,20.000000000,0.158803254,20
"40",0.20,6000, 900,0.15,0.1, 90,0,5,"fdr","a", 0.166406301,20.000000000,0.166406301,20
"41",0.01,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.011774789,20.000000000,0.011774789,20
"42",0.02,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.022287014,20.000000000,0.022287014,20
"43",0.03,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.028570099,20.000000000,0.028570099,20
"44",0.04,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.040560541,20.000000000,0.040560541,20
"45",0.05,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.052014384,20.000000000,0.052014384,20
"46",0.06,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.061432819,20.000000000,0.061432819,20
"47",0.07,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.069956358,20.000000000,0.069956358,20
"48",0.08,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.077806839,20.000000000,0.077806839,20
"49",0.09,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.085645738,20.000000000,0.085645738,20
"50",0.10,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.095654397,20.000000000,0.095654397,20
"51",0.11,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.105815625,20.000000000,0.105815625,20
"52",0.12,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.120105082,20.000000000,0.120105082,20
"53",0.13,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.131617471,20.000000000,0.131617471,20
"54",0.14,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.139213613,20.000000000,0.139213613,20
"55",0.15,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.151260429,20.000000000,0.151260429,20
"56",0.16,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.161553114,20.000000000,0.161553114,20
"57",0.17,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.171508231,20.000000000,0.171508231,20
"58",0.18,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.185398946,20.000000000,0.185398946,20
"59",0.19,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.193298897,20.000000000,0.193298897,20
"60",0.20,5000,1250,0.25,0.1,125,0,5,"fdr","a", 0.208847280,20.000000000,0.208847280,20
"321",0.01,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.000000000,30.000000000,0.000000000,30
"322",0.02,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.786222222,30.000000000,0.786222222,30
"323",0.03,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.912444444,30.000000000,0.912444444,30
"324",0.04,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.926666667,30.000000000,0.926666667,30
"325",0.05,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.942222222,30.000000000,0.942222222,30
"326",0.06,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.956444444,30.000000000,0.956444444,30
"327",0.07,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.961777778,30.000000000,0.961777778,30
"328",0.08,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.966666667,30.000000000,0.966666667,30
"329",0.09,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.971111111,30.000000000,0.971111111,30
"330",0.10,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.976888889,30.000000000,0.976888889,30
"331",0.11,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.979111111,30.000000000,0.979111111,30
"332",0.12,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.982222222,30.000000000,0.982222222,30
"333",0.13,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.982666667,30.000000000,0.982666667,30
"334",0.14,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.983555556,30.000000000,0.983555556,30
"335",0.15,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.984888889,30.000000000,0.984888889,30
"336",0.16,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.986666667,30.000000000,0.986666667,30
"337",0.17,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.987555556,30.000000000,0.987555556,30
"338",0.18,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.987555556,30.000000000,0.987555556,30
"339",0.19,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.989333333,30.000000000,0.989333333,30
"340",0.20,5000, 750,0.15,0.1, 75,0,5,"power","a", 0.990666667,30.000000000,0.990666667,30
"341",0.01,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.000000000,20.000000000,0.000000000,20
"342",0.02,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.747222222,20.000000000,0.747222222,20
"343",0.03,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.904444444,20.000000000,0.904444444,20
"344",0.04,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.926111111,20.000000000,0.926111111,20
"345",0.05,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.945000000,20.000000000,0.945000000,20
"346",0.06,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.950555556,20.000000000,0.950555556,20
"347",0.07,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.952222222,20.000000000,0.952222222,20
"348",0.08,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.959444444,20.000000000,0.959444444,20
"349",0.09,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.961666667,20.000000000,0.961666667,20
"350",0.10,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.963333333,20.000000000,0.963333333,20
"351",0.11,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.967222222,20.000000000,0.967222222,20
"352",0.12,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.971111111,20.000000000,0.971111111,20
"353",0.13,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.973888889,20.000000000,0.973888889,20
"354",0.14,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.974444444,20.000000000,0.974444444,20
"355",0.15,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.976666667,20.000000000,0.976666667,20
"356",0.16,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.977222222,20.000000000,0.977222222,20
"357",0.17,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.977777778,20.000000000,0.977777778,20
"358",0.18,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.979444444,20.000000000,0.979444444,20
"359",0.19,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.980000000,20.000000000,0.980000000,20
"360",0.20,6000, 900,0.15,0.1, 90,0,5,"power","a", 0.981111111,20.000000000,0.981111111,20
"361",0.01,5000,1250,0.25,0.1,125,0,5,"power","a", 0.421600000,20.000000000,0.421600000,20
"362",0.02,5000,1250,0.25,0.1,125,0,5,"power","a", 0.728400000,20.000000000,0.728400000,20
"363",0.03,5000,1250,0.25,0.1,125,0,5,"power","a", 0.852800000,20.000000000,0.852800000,20
"364",0.04,5000,1250,0.25,0.1,125,0,5,"power","a", 0.888400000,20.000000000,0.888400000,20
"365",0.05,5000,1250,0.25,0.1,125,0,5,"power","a", 0.909600000,20.000000000,0.909600000,20
"366",0.06,5000,1250,0.25,0.1,125,0,5,"power","a", 0.922000000,20.000000000,0.922000000,20
"367",0.07,5000,1250,0.25,0.1,125,0,5,"power","a", 0.927200000,20.000000000,0.927200000,20
"368",0.08,5000,1250,0.25,0.1,125,0,5,"power","a", 0.935600000,20.000000000,0.935600000,20
"369",0.09,5000,1250,0.25,0.1,125,0,5,"power","a", 0.943600000,20.000000000,0.943600000,20
"370",0.10,5000,1250,0.25,0.1,125,0,5,"power","a", 0.950000000,20.000000000,0.950000000,20
"371",0.11,5000,1250,0.25,0.1,125,0,5,"power","a", 0.954000000,20.000000000,0.954000000,20
"372",0.12,5000,1250,0.25,0.1,125,0,5,"power","a", 0.958400000,20.000000000,0.958400000,20
"373",0.13,5000,1250,0.25,0.1,125,0,5,"power","a", 0.962800000,20.000000000,0.962800000,20
"374",0.14,5000,1250,0.25,0.1,125,0,5,"power","a", 0.965600000,20.000000000,0.965600000,20
"375",0.15,5000,1250,0.25,0.1,125,0,5,"power","a", 0.970000000,20.000000000,0.970000000,20
"376",0.16,5000,1250,0.25,0.1,125,0,5,"power","a", 0.971200000,20.000000000,0.971200000,20
"377",0.17,5000,1250,0.25,0.1,125,0,5,"power","a", 0.973200000,20.000000000,0.973200000,20
"378",0.18,5000,1250,0.25,0.1,125,0,5,"power","a", 0.975600000,20.000000000,0.975600000,20
"379",0.19,5000,1250,0.25,0.1,125,0,5,"power","a", 0.976400000,20.000000000,0.976400000,20
"380",0.20,5000,1250,0.25,0.1,125,0,5,"power","a", 0.980400000,20.000000000,0.980400000,20
"641",0.01,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.000000000,30.000000000,0.000000000,30
"642",0.02,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.013779100,30.000000000,0.013779100,30
"643",0.03,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.024052369,30.000000000,0.024052369,30
"644",0.04,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.029055502,30.000000000,0.029055502,30
"645",0.05,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.037810720,30.000000000,0.037810720,30
"646",0.06,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.047928248,30.000000000,0.047928248,30
"647",0.07,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.053507315,30.000000000,0.053507315,30
"648",0.08,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.063452340,30.000000000,0.063452340,30
"649",0.09,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.070332191,30.000000000,0.070332191,30
"650",0.10,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.082587878,30.000000000,0.082587878,30
"651",0.11,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.097171867,30.000000000,0.097171867,30
"652",0.12,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.113731881,30.000000000,0.113731881,30
"653",0.13,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.123521709,30.000000000,0.123521709,30
"654",0.14,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.128871478,30.000000000,0.128871478,30
"655",0.15,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.137638223,30.000000000,0.137638223,30
"656",0.16,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.144464806,30.000000000,0.144464806,30
"657",0.17,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.158716549,30.000000000,0.158716549,30
"658",0.18,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.170729945,30.000000000,0.170729945,30
"659",0.19,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.181469145,30.000000000,0.181469145,30
"660",0.20,5000, 750,0.15,0.1, 75,0,5,"fdr","james", 0.193935433,30.000000000,0.193935433,30
"661",0.01,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.000000000,20.000000000,0.000000000,20
"662",0.02,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.012266365,20.000000000,0.012266365,20
"663",0.03,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.019104890,20.000000000,0.019104890,20
"664",0.04,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.033972776,20.000000000,0.033972776,20
"665",0.05,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.041232899,20.000000000,0.041232899,20
"666",0.06,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.047589161,20.000000000,0.047589161,20
"667",0.07,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.051856143,20.000000000,0.051856143,20
"668",0.08,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.062284682,20.000000000,0.062284682,20
"669",0.09,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.072828259,20.000000000,0.072828259,20
"670",0.10,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.083310595,20.000000000,0.083310595,20
"671",0.11,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.096554488,20.000000000,0.096554488,20
"672",0.12,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.103312306,20.000000000,0.103312306,20
"673",0.13,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.109092599,20.000000000,0.109092599,20
"674",0.14,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.122218726,20.000000000,0.122218726,20
"675",0.15,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.131991005,20.000000000,0.131991005,20
"676",0.16,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.141437878,20.000000000,0.141437878,20
"677",0.17,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.151199865,20.000000000,0.151199865,20
"678",0.18,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.163210707,20.000000000,0.163210707,20
"679",0.19,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.172681039,20.000000000,0.172681039,20
"680",0.20,6000, 900,0.15,0.1, 90,0,5,"fdr","james", 0.180556170,20.000000000,0.180556170,20
"681",0.01,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.001485149,20.000000000,0.001485149,20
"682",0.02,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.008734571,20.000000000,0.008734571,20
"683",0.03,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.018147436,20.000000000,0.018147436,20
"684",0.04,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.027200352,20.000000000,0.027200352,20
"685",0.05,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.031147169,20.000000000,0.031147169,20
"686",0.06,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.048485106,20.000000000,0.048485106,20
"687",0.07,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.057817976,20.000000000,0.057817976,20
"688",0.08,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.063723557,20.000000000,0.063723557,20
"689",0.09,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.076837158,20.000000000,0.076837158,20
"690",0.10,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.086373416,20.000000000,0.086373416,20
"691",0.11,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.094322436,20.000000000,0.094322436,20
"692",0.12,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.103732515,20.000000000,0.103732515,20
"693",0.13,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.110904670,20.000000000,0.110904670,20
"694",0.14,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.120633693,20.000000000,0.120633693,20
"695",0.15,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.125887645,20.000000000,0.125887645,20
"696",0.16,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.133212259,20.000000000,0.133212259,20
"697",0.17,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.142711922,20.000000000,0.142711922,20
"698",0.18,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.148600938,20.000000000,0.148600938,20
"699",0.19,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.159774866,20.000000000,0.159774866,20
"700",0.20,5000,1250,0.25,0.1,125,0,5,"fdr","james", 0.172120716,20.000000000,0.172120716,20
"961",0.01,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.000000000,30.000000000,0.000000000,30
"962",0.02,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.701777778,30.000000000,0.701777778,30
"963",0.03,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.828000000,30.000000000,0.828000000,30
"964",0.04,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.857333333,30.000000000,0.857333333,30
"965",0.05,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.891111111,30.000000000,0.891111111,30
"966",0.06,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.902666667,30.000000000,0.902666667,30
"967",0.07,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.915555556,30.000000000,0.915555556,30
"968",0.08,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.927111111,30.000000000,0.927111111,30
"969",0.09,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.932444444,30.000000000,0.932444444,30
"970",0.10,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.938222222,30.000000000,0.938222222,30
"971",0.11,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.942666667,30.000000000,0.942666667,30
"972",0.12,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.948000000,30.000000000,0.948000000,30
"973",0.13,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.952888889,30.000000000,0.952888889,30
"974",0.14,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.954666667,30.000000000,0.954666667,30
"975",0.15,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.956000000,30.000000000,0.956000000,30
"976",0.16,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.957777778,30.000000000,0.957777778,30
"977",0.17,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.959111111,30.000000000,0.959111111,30
"978",0.18,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.960888889,30.000000000,0.960888889,30
"979",0.19,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.961333333,30.000000000,0.961333333,30
"980",0.20,5000, 750,0.15,0.1, 75,0,5,"power","james", 0.966222222,30.000000000,0.966222222,30
"981",0.01,6000, 900,0.15,0.1, 90,0,5,"power","james", 0.000000000,20.000000000,0.000000000,20
"982",0.02,6000, 900,0.15,0.1, 90,0,5,"power","james", 0.623888889,20.000000000,0.623888889,20
"983",0.03,6000, 900,0.15,0.1, 90,0,5,"power","james", 0.767777778,20.000000000,0.767777778,20
"984",0.04,6000, 900,0.15,0.1, 90,0,5,"power","james", 0.842777778,20.000000000,0.842777778,20
